Package Name,Reviewer Name,Review,Rating
org.thoughtcrime.securesms,Djuli,Signal was very helpful when I traveled out of the country. Turned out my service was not as great as advertised. At least I could still contact the people in my group because we all downloaded signal.,5
org.thoughtcrime.securesms,biggie cheese,Are you kidding me? The SMS capability built into the app was the only reason you stand out at all. Now you're just a clone.,1
org.thoughtcrime.securesms,Jj,"Signal used to be the best SMS messaging service available until recently. Now it only works If other people have Signal. Before the change, If one of your contacts did not have signal, The program would still work but it would send unencrypted messages to those recipients, which was perfectly fine with me.. So now the greatest Messaging program is no longer useful to me And I am stuck using the junk Samsung default messenger. FU Signal",1
org.thoughtcrime.securesms,rk ml,Very unhappy that SMS is removed from this app. I was happy to have 1 less messaging application by SMS and Signal being in one application. Now I have to use 2 different apps. ACTUALLY SWITCHING TO Google Messages as it supports End to End Encryption so no more Signal for me. Going back to basics... THANK YOU VERY MUCH SIGNAL BUT NO THANK YOU FOR YOUR RASH DECISION TO REMOVE SMS.,1
org.thoughtcrime.securesms,Jorge Alberto Barrera,Good app,5
org.thoughtcrime.securesms,Sobuj hasan,all is ok!!! but calling quality too much disgusting ðŸ˜ž please fix this problem.. i cant talk in video call cause video call was frozen,2
org.thoughtcrime.securesms,Steve James,I really love this app and enjoy it so much I'm so excited with this app,1
org.thoughtcrime.securesms,Alexander Smithson,No complaints,5
org.thoughtcrime.securesms,Mary Fox,Good,5
org.thoughtcrime.securesms,David Read,"Fantastic, easy and secure app.",5
org.thoughtcrime.securesms,Loco Famous,I love this app,5
org.thoughtcrime.securesms,Wendy Davis,Good app,5
org.thoughtcrime.securesms,S,Simple and I love you can lock it.,5
org.thoughtcrime.securesms,Super Sanjayan,Easy!,5
org.thoughtcrime.securesms,Ken Omari,Great application and easy but secure to use,5
org.thoughtcrime.securesms,Bahks Waagnat,"Used to be a good app, but the product team has been making TERRIBLE choices for the last several years. Ending support for SMS is the latest terrible idea. We don't want stories. We don't want a payment system. UX keeps getting worse and worse (bring back the old color scheme!). What we need is a secure messaging app that is easy to use for the largest number of people. Getting rid of SMS support is foolish. I'll keep using this app, but it's time for a new alternative. BRING BACK SMS!!!",1
org.thoughtcrime.securesms,Robin Larsen,Great app. No issues at all.,5
org.thoughtcrime.securesms,Dze Fox,Excellent,4
org.thoughtcrime.securesms,Jules Sanson,My go-to messenger. The new message scheduler is a great add-on.,5
org.thoughtcrime.securesms,Stella Gusman,Pretty easy to use,5
org.thoughtcrime.securesms,Donaldo MuÃ±iz - Calez,Enjoy Private Conversations with my Intriguing Associates â˜ ï¸ðŸ”ªðŸ”¨á•™â (â â‡€â â€¸â â†¼â â€¶â )â á•—,5
org.thoughtcrime.securesms,Rae,"Love the privacy offered by Signal. Full switch from FB. FB not only censors their posts, but they also monitor and censor the ""private"" messages to private people on their ""private"" message ing app.",5
org.thoughtcrime.securesms,Ahmad Chatila,It won't register my number always service error check your network (internet work fine) tried vpn clear data reinstall app denied and reallow permissions restart phone try another version all fails to register service error or force close support didn't give any suggestions via email they asked about my country and number i gave them all infos and still no reply from them,1
org.thoughtcrime.securesms,Mohd ISLAM RAZVI,Very good luck ðŸ¤ž,5
org.thoughtcrime.securesms,Pen Duncan,Privacy..speaking as yu wish ... a lawyer turned me on to the appðŸ¤ž,5
org.thoughtcrime.securesms,PHILIPO GABRIEL,Amazing,5
org.thoughtcrime.securesms,Oregano Gallegos,Love love love,5
org.thoughtcrime.securesms,Gerald Eder,Like what's or line,5
org.thoughtcrime.securesms,Jsor Mezn,Perfect!,5
org.thoughtcrime.securesms,Wayne Jensen,All the great enhanced chat features. None of the corporate spying on consumers.,5
org.thoughtcrime.securesms,Stacy Solomon,Works great. Haven't had any issues.,5
org.thoughtcrime.securesms,DS Gustus,"Was a great app, used it for years and got many others to use it as well. Their choice to drop SMS support was the worst decision since New Coke and now I would have to either use a different app for all of my messages or use two seperate apps, and aint no one got time for that! Too bad, because it was a great app!",2
org.thoughtcrime.securesms,Monu Ola,Superb,5
org.thoughtcrime.securesms,Stephanie Lynn Sirois,"Removal of sms and support is the wrong way to go. I've been using this app for the past 5 years or so and I'm disappointed in the regular glitches that have been happening since this announcement. Stickers and stories are the least of my concerns-I was using this as my default messaging app. With the changes, and the lack of transition of data across the account (the data instead only transfers onto the device) I'm uninstalling today.",1
org.thoughtcrime.securesms,ì €ì–´,WMC,5
org.thoughtcrime.securesms,ANCHAL GUPTA,It's not vry good because here no one see to who r online or offline it just secret so this things I don't liked please give features to see online or offline,1
org.thoughtcrime.securesms,Judy Hunt,I feel safe using this app!,5
org.thoughtcrime.securesms,Waii Yann,I like this version,5
org.thoughtcrime.securesms,BK,Super,5
org.thoughtcrime.securesms,Maia Mazariegos,Messages not always arriving instantly,3
org.thoughtcrime.securesms,LOGA SUNDHARI,This is the safest messenger app compare with other messenger app's.....its too good...and safest app,5
org.thoughtcrime.securesms,challa taylo,It disconnects,3
org.thoughtcrime.securesms,drTERRRORRR,"Everything in order: clear UI, fast communication. No bugs/glitches/crashes experienced so far. I was not digging deeper, so can't tell anything about what's ""under the hood"" (regarding the handling of actual communication). Good security vs ease-of-use ratio for normies at least concerned with their online privacy. Cheers!",5
org.thoughtcrime.securesms,Randy La rose,Well it's a wonderful safe an reliable app it's very efficient fast delivery an reciving service I love it.,5
org.thoughtcrime.securesms,Sulpha Gorse,"Dropped SMS support means i cant get messages from businesses i use, my work, and most of my friends. Cant be my default messager anymore.",1
org.thoughtcrime.securesms,Bryanna Arties,"A lot of Job scams are tied to this app and when I contact support regarding this they responded saying I need to update to the latest software. I sent them the womans name and phone number and nothing was done about it. Views be aware of who you are talking to through this if you download this for a job. WFH jobs have a phone interview process and do background checks. If they aren't doing that, question them about how legit it is.",1
org.thoughtcrime.securesms,S B AGARWAL,This app is best for safety with lots of features. Best for one to one transaction. WhatsApp and telegram could not beat it in security of messages.,5
org.thoughtcrime.securesms,G T Curtis,Good,5
org.thoughtcrime.securesms,J B.,"sms was basically the only thing i was using it for, now the support for that is going away making this just another messenger that too few ppl use to actually make it practical to keep installed",2
org.thoughtcrime.securesms,R. S. Steinberg,"Works well and I'm confident in its security, but inability to use it to text from my phone to people who don't use Signal is a major drawback, requiring me to use generic text app for them and to check every time I want to text an occasional correspondent",4
org.thoughtcrime.securesms,39 Lokesh Kumar Kumawat,Nice app. Safe to use.,5
org.thoughtcrime.securesms,Sreekanth S,"Barring the occasional hangups during video calls, it performs really good. I guess I can take the problems there as long as they stick to their end to end encryption standards and privacy measures.",5
org.thoughtcrime.securesms,Eric Spencer,It's good for my important document,5
org.thoughtcrime.securesms,Devon Ellis,"This is the best massaging app there is, and it should be more widely adopted by Americans. Outside of the US people are smart and use apps like this or WhatsApp to communicate, so they don't have to worry about the whole Apple vs. Android, blue bubbles-green bubbles feud. Here in the US though, we don't have it together. Signal bridges the gap for everyone. It offers end to end encryption, high quality image/video sharing, blue bubbles or whatever other color you want, the works.",5
org.thoughtcrime.securesms,Md Shah Alam,Good,5
org.thoughtcrime.securesms,William nicholas Nicely,Good deal,4
org.thoughtcrime.securesms,Chandler Kenneth,This app is really sucks been receiving messages but unable to view and give responses,1
org.thoughtcrime.securesms,Aryan Baral,Ads free Real easy to use Secure,5
org.thoughtcrime.securesms,J,"Updates can (and have) removed core functionality like SMS, while adding more social media-esque features. It's was my favorite app, but don't expect it to replace a need for other apps. It's a niche thing now. I have fewer friends using Signal due to the drop of SMS, which makes it even less useful to where I may stop using it too.",2
org.thoughtcrime.securesms,Stephen Baker,"This used to be a useful app. And I supported with $. It no longer integrates with SMS/MMS. My messages are now split between 2 apps. The export utility failed. Now my history is split between 2 apps. There have been significant delays in message delivery. Moxie Marlinspike had a good idea with TextSecure/RedPhone, which when commercialized met with #enshittification. The app continually presents a popup asking for $. There is no way to permanently dismiss the popup.",2
org.thoughtcrime.securesms,Jd Pitts,Excellent communication app,5
org.thoughtcrime.securesms,Stefan MÃ¶hl,"Open source so it has verifiable end-to-end encryption. On top of that it is well designed, easy to use and not buggy. What is there not to like?",5
org.thoughtcrime.securesms,Leslie Tomlinson,Only works with people who have the app also most people I know didn't,1
org.thoughtcrime.securesms,Poco X3,"I consider this still a great app for encrypted messaging. However, removal of SMS support broke it for my use-cases, so I had to stop using it - hence the low rating. Before the change, I had really no issues with the app and would rate it easily 5 stars.",2
org.thoughtcrime.securesms,Stefnie Richards,Excellent,5
org.thoughtcrime.securesms,Sanskar Dhar Diwvedi,It's amazing app it's really good,5
org.thoughtcrime.securesms,kala siva,Good,5
org.thoughtcrime.securesms,Muskan Sharma,It's very relabel to *Hike* some features same as hike so i am so satisfied in this app. Thank signal ðŸ˜Š,5
org.thoughtcrime.securesms,Olamilekan Ayodeji,Very good app,1
org.thoughtcrime.securesms,Aaquib Sheikh,Good,5
org.thoughtcrime.securesms,Cloe Smithett,Why no SMS anymore signal?,1
org.thoughtcrime.securesms,Gensing Nunerley Craft,The signal app has been a great platform to use to keep in communication with loves. It seems to be more safe to use than others apps. I have enjoyed using it.,5
org.thoughtcrime.securesms,Peri Ahmadi (she series),Seriously best app ever. I only wish everyone I know used it so I didn't have to switch to sms,5
org.thoughtcrime.securesms,Haig Jason,"Ok, so you don't want to support SMS. Ok, fine so don't support it but don't disable it. Many people want this feature. You can provide a option to switch it off and when a user switches it on, you can warn them it is not supported. Just don't annoy everyone. Used to be useful, now a legacy that is itching to be replaced with any any app that will integrate sms and encrypted messages.",1
org.thoughtcrime.securesms,Balazs Jobbagy,A great app for communicating. Love it.,5
org.thoughtcrime.securesms,hariharan sundararaman,"App is ok yet to develop, lot of addition to be done, on further usage i let u know......",3
org.thoughtcrime.securesms,OMER ZORRO,Awesome ðŸ˜Ž,5
org.thoughtcrime.securesms,Michael,Good,5
org.thoughtcrime.securesms,Alex Disibio,"Can only use on a single mobile device, greatly reducing its usefulness. Also had an intrusive pop-up telling me to rate it, which is very annoying. The privacy is good, but I the desktop client is terrible. Edit: SMS support is being dropped, making this hugely less compelling, since I don't want to juggle apps, and there are better encrypted messaging options out there. Without SMS it loses the appeal that made signal so valuable in the first place. Don't bother with it now.",1
org.thoughtcrime.securesms,Kesari Cortez,Good,5
org.thoughtcrime.securesms,Jonathan Morford,"Long time fan, user, and advocate of Signal here. It's one of the best communication and social apps out there with extremely impressive security and privacy. Signal has basically all you'd want in a personal chat app plus more, such as groups with permissions, audio/video calls, multi-device, backups, and stories. It can be a great replacement for more sketchy apps like WhatsApp, Instagram, Snapchat, and GroupMe and a reliable, high-quality, cross-platform alternative for iMessage and FaceTime.",5
org.thoughtcrime.securesms,John C,"Used it, loved it, then they decided to remove SMS support. I don't want another walled garden. The decision smacks of a REALLY BAD misunderstanding of your user base.",1
org.thoughtcrime.securesms,Sangeetha Kesoju,Good app,5
org.thoughtcrime.securesms,Jeffrey fischer,Great product,5
org.thoughtcrime.securesms,Gary Middleton,My account is locked been a month,1
org.thoughtcrime.securesms,Fajars Wolf,Great,5
org.thoughtcrime.securesms,Dorian Grey,Greatest,5
org.thoughtcrime.securesms,Â· Â·,Removed support for regular messaging not everyone uses signal. Going to a messaging app that supports both.,1
org.thoughtcrime.securesms,Kody Simpson,Best messaging app overall.,5
org.thoughtcrime.securesms,LeslieHim Cheung,Please help to fix/enhance the app with the feedback below. Thanks! (1) Custom Notification being repeatedly reset (2) Can't reply messages with stickers,3
org.thoughtcrime.securesms,Paul Darilek,"Simple, secure, open source. Gets the job done.",5
org.thoughtcrime.securesms,Christopher Sanders,My go-to messaging app. Way better than Slack.,5
org.thoughtcrime.securesms,Earl Adkins,One of the best messaging apps to ever use. I'm always recommending it. There is no ads at all.,5
